sample_id,corpus,paper,page,chart,legend_verdict,problem,suggested_fix,suggested_module,png
astro_2606.03881_page7_chart1,astro,2606.03881,7,1,legend_partial,"two spurious labels (""s"",""total"") added and ARGO/Fermi-LAT 2011 dropped from a 7-entry legend","reject single-letter/axis-word tokens (""s"",""total"") as legend entries and ensure every legend marker row is paired to a label","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.03881_page7_chart1.png"
astro_2606.04793_page6_chart1,astro,2606.04793,6,1,legend_missing,"multi-entry legend (MgII/CaII/Zhu+2013/Ng+2025/Nelson+2025) recovered no labels","detect the in-axes legend box (markers+text columns) and emit its entries even when multi-column","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04793_page6_chart1.png"
astro_2606.04309_page9_chart1,astro,2606.04309,9,1,legend_partial,"spurious marker-glyph labels ""o"" and ""^"" added to a clean 3-entry legend","drop fallback labels that are bare matplotlib marker codes (o,^,+,x,v,s,D) when no legend text matches a series","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04309_page9_chart1.png"
astro_2606.02711_page42_chart1,astro,2606.02711,42,1,legend_partial,"superscript -1 lost (""u_RMS=0 km s 1""), uRMS=8 and 3 line-style entries missing","preserve superscript exponents in legend text and capture line-style (solid/dotted/dashed) legend entries","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02711_page42_chart1.png"
astro_2606.02726_page9_chart1,astro,2606.02726,9,1,legend_partial,"blue 10^-16 M_sun series left unlabeled; exponents flattened (10-13)","assign the unmatched fourth legend entry to the remaining series and keep superscript exponents","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02726_page9_chart1.png"
astro_2606.04140_page9_chart1,astro,2606.04140,9,1,legend_missing,"color-swatch legend (5 lines) recovered no labels","detect right-side legend whose text may be clipped at panel edge and still emit swatch-paired entries","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04140_page9_chart1.png"
astro_2606.03522_page7_chart4,astro,2606.03522,7,4,legend_wrong,"spurious garbled marker-name labels ""o"" and ""+"" emitted as legend entries","filter bare marker-code tokens before adding them as legend labels","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.03522_page7_chart4.png"
astro_2606.02318_page9_chart2,astro,2606.02318,9,2,legend_wrong,"sub/superscript error bounds collapsed (+1.72/-2.17 -> 1.722.17)","keep super/subscript +/- ordering when flattening stacked TeX error-bound annotations","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02318_page9_chart2.png"
astro_2606.02700_page18_chart1,astro,2606.02700,18,1,legend_wrong,"no real legend; invented label ""(b) 0.1"" from a subplot tag plus an axis number","exclude subplot tags (a)/(b) and axis tick numbers from legend-text candidates","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02700_page18_chart1.png"
astro_2606.03342_page10_chart1,astro,2606.03342,10,1,legend_wrong,"subscript H-alpha garbled to fH and three values dropped (entries collapse to ""=""); marker legend (HeCS/CHANCES/WEAVE) missing","preserve subscripts and trailing numeric values in TeX legend text and capture the second marker-legend column","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.03342_page10_chart1.png"
astro_2606.02698_page8_chart12,astro,2606.02698,8,12,legend_partial,"only tau=200 Myr recovered plus spurious ""^""; 3 photometry entries (Annular/Super/Slit) missing","capture multi-marker photometry legend rows and drop bare marker-code fallback labels","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02698_page8_chart12.png"
astro_2606.04712_page24_chart1,astro,2606.04712,24,1,legend_missing,"12-entry 2-column legend (J0925..J2220-2) recovered no labels","parse two-column in-axes legend boxes and map each marker swatch to its series color","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04712_page24_chart1.png"
astro_2606.01087_page16_chart2,astro,2606.01087,16,2,legend_wrong,"two of five labels badly mangled LaTeX (9/16 tau[...] and exp[-pi^2/...] lost symbols)","improve TeX legend reconstruction to retain fractions, Greek letters, and exponents","labels.py","/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.01087_page16_chart2.png"
