sample_id,corpus,paper,page,chart,verdict,failure_mode,problem,suggested_fix,suggested_module,png
materials_2606.04608_page14_chart5,materials,2606.04608,14,5,partial,miscalib,"Orange dashed curve peak (~0.85 at left) is recovered only to ~0.6 and the three oscillating zigzag curves become a diffuse scatter cloud on the log-x axis","Sample line vertices densely along the path and verify log-x tick calibration so peak amplitudes and oscillation shape are preserved",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04608_page14_chart5.png
materials_2606.02317_page14_chart2,materials,2606.02317,14,2,partial,extra_noise,"The dashed linear-fit line is traced as an extra scatter series so the reconstruction has more series than the real ALD/PECVD marker data","Detect and exclude dashed fit/trend lines from marker extraction so only the square/circle data markers are returned",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02317_page14_chart2.png
materials_2606.00681_page4_chart3,materials,2606.00681,4,3,partial,missing_series,"The dashed peak-pole-offset series plotted against the right secondary axis is missing; only the two primary-axis series are recovered","Detect the secondary right y-axis and extract the dashed series calibrated to it",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00681_page4_chart3.png
materials_2606.02317_page11_chart1,materials,2606.02317,11,1,partial,legend_wrong,"Four overlapping peaks (Hafnia, Alumina, Silicon Nitride, Silica) but legend lists only three names while four colors are plotted, so Silicon Nitride is mislabeled","Match the four extracted series to all four inline color-coded labels so the legend names every series",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02317_page11_chart1.png
materials_2606.04919_page21_chart3,materials,2606.04919,21,3,partial,extra_noise,"Original is essentially one flat lh,1s band near y=4 but the reconstruction invents extra colored series and a blue cluster of outliers at y~3.4-3.7","Suppress spurious series splitting and reject the off-band blue outliers; keep a single series matching the one legend label",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04919_page21_chart3.png
materials_2606.04724_page19_chart1,materials,2606.04724,19,1,partial,extra_noise,"Two spurious purple 'o' series come from y-axis label text and the green tau=3.0 sawtooth peak is recovered at ~0.33 instead of ~0.5","Exclude axis-label text glyphs from marker detection and fix y calibration so peak heights match",plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04724_page19_chart1.png
materials_2606.05050_page13_chart1,materials,2606.05050,13,1,partial,legend_wrong,"Series-to-name assignment is shuffled (e.g. green labeled UniMech reactions, orange UniMech intermediates) so legend colors do not match the original four series","Bind each extracted series to the legend entry by matching marker color/style rather than by order",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.05050_page13_chart1.png
materials_2606.00165_page20_chart3,materials,2606.00165,20,3,partial,missing_series,"Six legend series (A12..A34) collapse to three recovered series; the cluster of near-overlapping curves around y=0.08 is under-separated","Separate overlapping near-coincident curves by color so all six legend series are recovered",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00165_page20_chart3.png
materials_2606.02085_page6_chart1,materials,2606.02085,6,1,partial,missing_series,"One of six frequency series is missing and the gray vertical shading band creates a stray purple cluster that jumps up near 6.5 GPa","Recover all six color series and ignore the gray highlight band so it does not spawn phantom points",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02085_page6_chart1.png
materials_2606.04219_page12_chart1,materials,2606.04219,12,1,partial,other,"This is an annotated schematic with ellipse highlights and scattered labeled markers; only star markers are captured and y-values look miscalibrated for a non-standard figure","Either skip conceptual schematic figures or calibrate from the visible numeric ticks before extracting the labeled point markers",extract.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04219_page12_chart1.png
materials_2606.02399_page2_chart2,materials,2606.02399,2,2,partial,miscalib,"The two smooth monotonic decay curves (thr. em., thr. abs.) are reconstructed as non-monotonic scattered clouds that no longer follow the curve shape","Trace the continuous curve paths in order instead of sampling markers so the monotonic decay is preserved",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02399_page2_chart2.png
materials_2606.00785_page15_chart2,materials,2606.00785,15,2,partial,legend_wrong,"The four legend entries (poly/single crystal of two compounds) collapse to three colored series so series identity is not preserved despite points being positionally close","Resolve overlapping open/filled triangle markers and map them to all four legend entries by marker fill and color",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00785_page15_chart2.png
materials_2606.03405_page10_chart1,materials,2606.03405,10,1,partial,extra_noise,"The single QA->PIMD step-drop curve is well traced but two spurious blue 'PIMD' points are added as a phantom second series","Suppress the two-point phantom series so only the single recovered curve remains",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.03405_page10_chart1.png
materials_2606.03016_page16_chart1,materials,2606.03016,16,1,partial,missing_series,"Six labeled curves (a..f) on an inverted y-axis collapse to four recovered series so the close a/b and c/d pairs are merged","Separate the overlapping curve pairs by color tracing so all six labeled trajectories are recovered",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.03016_page16_chart1.png
