sample_id,legend_verdict,note
astro_2606.03881_page7_chart1,legend_partial,"7-entry legend; recovered 5 with spurious ""s"" and ""total"", missing ARGO and Fermi-LAT 2011"
astro_2606.04793_page6_chart1,legend_missing,"clear multi-entry legend (MgII, CaII H/K/H+K, Zhu+2013, Ng+2025, Nelson+2025) but re-plot shows no labels"
astro_2606.04309_page9_chart1,legend_partial,"3 real labels (Narrow/Broad/Non-detections) correct but two spurious marker-glyph labels ""o"" and ""^"" added"
astro_2606.02711_page42_chart1,legend_partial,"recovered uRMS=0/4 only as ""s 1"" (superscript -1 lost), missing uRMS=8 and 3 line-style entries"
astro_2606.02726_page9_chart1,legend_partial,"missing 10^-16 series label, exponents flattened (10-13); 3 of 4 recovered"
astro_2606.04140_page9_chart1,legend_missing,"original has color-swatch legend (5 lines) but re-plot recovered no labels"
astro_2606.00221_page11_chart2,legend_na,"colorbar (continuous), not a per-series legend"
astro_2606.04894_page7_chart2,legend_na,"legend labels two reference lines only; single data series unlabeled in original"
astro_2606.02711_page53_chart4,legend_na,"no legend in original chart region"
astro_2606.02698_page7_chart4,legend_na,"single dataset with source-ID annotation, no per-series legend"
astro_2606.00221_page20_chart4,legend_na,"single data series plus model curve, no legend"
astro_2606.03522_page7_chart4,legend_wrong,"spurious garbled marker-name labels ""o"" and ""+"" present alongside real labels"
astro_2606.02732_page4_chart4,legend_na,"single data series, no legend"
astro_2606.02318_page9_chart2,legend_wrong,"both labels mangled: +1.72/-2.17 collapsed to 1.722.17; +1.24/-0.63 to 1.240.63"
astro_2606.00493_page16_chart1,legend_na,"two curves but no legend in original"
astro_2606.02700_page18_chart1,legend_wrong,"no real legend; invented spurious label ""(b) 0.1"" from subplot tag + axis number"
astro_2606.00218_page12_chart3,legend_na,"no legend in original"
astro_2606.03342_page10_chart1,legend_wrong,"subscript Halpha garbled to fH, values dropped (3 entries collapse to ""="");  HeCS/CHANCES/WEAVE missing"
astro_2606.05146_page19_chart3,legend_na,"only a fit-formula annotation box, no per-series legend"
astro_2606.00258_page13_chart3,legend_na,"source-ID title only, no per-series legend"
astro_2606.04894_page17_chart1,legend_na,"legend labels four reference lines; single data series unlabeled"
astro_2606.02698_page8_chart12,legend_partial,"only tau=200 Myr recovered plus spurious ""^""; 3 photometry entries missing"
astro_2606.04712_page24_chart1,legend_missing,"clear 12-entry 2-column legend (J0925..J2220-2) but re-plot shows no labels"
astro_2606.02413_page9_chart2,legend_na,"multiple colored series but no legend box in original"
astro_2606.00258_page13_chart1,legend_na,"source-ID title only, no per-series legend"
astro_2606.01087_page16_chart2,legend_wrong,"two of five labels badly mangled LaTeX (9/16 tau[...] -> ""9 [ln(1)+ 3""; exp[-pi^2/...] -> ""exp[ 3( +4/3)2"")"
