sample_id,status,verdict,failure_mode,note
materials_2606.04608_page14_chart5,extracted,partial,missing-series,orange large-peak dashed series truncated at top; red/blue oscillation captured but upper series still poorly sampled
materials_2606.02317_page14_chart2,extracted,correct,none,dashed linear-fit line no longer sampled as extra series; 2 scatter series (ALD+PECVD) captured cleanly — improvement from judge5 partial/extra-noise
materials_2606.01744_page81_chart1,skipped,,,
materials_2606.00165_page6_chart1,extracted,correct,none,all 6 series (3 rising + 3 flat vs B) captured correctly
materials_2606.00314_page5_chart1,extracted,correct,none,two Lorentzian peaks match well
materials_2606.04724_page21_chart1,extracted,correct,none,all 3 parabolic arcs captured over full x range 0-5; left-half gap from judge5 is resolved — improvement from partial/sparse
materials_2606.04608_page30_chart1,extracted,correct,none,DMRG vs Heisenberg decay both match on log-x
materials_2606.00681_page4_chart3,extracted,correct,none,3-series peak-vs-pole match (A2-like pole + electrical peak + offset)
materials_2606.00479_page2_chart1,extracted,correct,none,two symmetric band curves match; no panel merge
materials_2606.05057_page6_chart1,skipped,,,
materials_2606.03016_page9_chart2,extracted,correct,none,D-C-B single peak curve; inset vector field not contaminating
materials_2606.02317_page11_chart1,extracted,correct,none,4 overlapping XPS peaks at correct x-positions and heights
materials_2606.00403_page8_chart9,extracted,correct,none,3 RDF curves (Si-C Si-Si C-C) match well at T=3300K
materials_2606.01444_page35_chart1,extracted,correct,none,3-point linear bending-modulus match
materials_2606.04919_page21_chart3,extracted,wrong,miscalibrated,lh,1s flat resonance line extracted but multiple series at wrong y-values; scattered points not on data line
materials_2606.04724_page19_chart1,extracted,correct,none,4 Dirichlet sawtooth series captured over full x range 0-10; left-half gap from judge5 resolved — improvement from partial/sparse
materials_2606.05050_page13_chart1,extracted,partial,missing-series,2 solid reaction curves present on log-y; dashed intermediate series still sparse or absent
materials_2606.00165_page20_chart3,extracted,partial,missing-series,only 2-3 of 6 decay+flat series extracted; 3-4 series absent
materials_2606.03497_page23_chart1,extracted,correct,none,two separate bell-peak curves extracted cleanly; panel-merge from judge5 resolved — improvement from wrong/panel-merge
materials_2606.03405_page6_chart3,extracted,correct,none,4 zigzag series on log-x match
