sample_id,corpus,paper,page,chart,verdict,failure_mode,problem,suggested_fix,suggested_module,png
astro_2606.04793_page6_chart1,astro,2606.04793,6,1,partial,extra_noise,"Two dense diagonal point-bands appear in the re-plot that are the fitted trend lines sampled as data, while the actual triangle marker series are mostly missed.","Suppress fit/trend lines (long thin diagonal strokes) before sampling and prioritize discrete marker glyphs as the data series.",lines.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04793_page6_chart1.png
astro_2606.04309_page9_chart1,astro,2606.04309,9,1,partial,legend_wrong,"Data points lie correctly on markers but the legend invents spurious series ('o','^') instead of the three real labels (Narrow, Broad, Non-detections).","Map extracted color/marker clusters to the parsed legend entries rather than emitting raw glyph-shape placeholders.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04309_page9_chart1.png
astro_2606.02711_page42_chart1,astro,2606.02711,42,1,partial,miscalib,"The original x-axis is logarithmic but the re-plot renders it linear (0-5), and 6 series are emitted where the chart has 3.","Detect log x-axis from tick labels and calibrate accordingly; merge duplicate color series down to the legend count.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02711_page42_chart1.png
astro_2606.02726_page9_chart1,astro,2606.02726,9,1,partial,legend_wrong,"The flat pink 10^-11 series is split into scattered orange/green points so series-to-legend assignment is wrong even though curve shapes are recovered.","Improve color clustering so a single flat horizontal series is not fragmented across multiple legend colors.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02726_page9_chart1.png
astro_2606.00221_page11_chart2,astro,2606.00221,11,2,partial,miscalib,"The original y-axis appears log/color-coded but the re-plot is linear, and an extra pink point cluster near the bottom does not match the original marks.","Re-derive the y-axis scale from tick labels and drop the spurious low-value cluster that has no corresponding marker.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.00221_page11_chart2.png
astro_2606.03522_page7_chart4,astro,2606.03522,7,4,partial,legend_wrong,"Scatter structure is recovered but legend shows raw glyph placeholders ('o','+') and the blue SFG cross series is partly mislabeled.","Bind extracted clusters to parsed text legend labels (SFG, LRD) instead of glyph-shape tokens.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.03522_page7_chart4.png
astro_2606.02732_page4_chart4,astro,2606.02732,4,4,partial,miscalib,"Original x-axis is log with a trailing '1' tick; the re-plot is linear (0.0075-0.025) and far-left/far-right points are dropped.","Parse log tick labels including the anomalous trailing tick and extend the x-range to include all extracted markers.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02732_page4_chart4.png
astro_2606.00218_page12_chart3,astro,2606.00218,12,3,partial,miscalib,"Original marks cluster near top (~1) and bottom (~0) but the re-plot spreads points continuously across the full y-range, suggesting y-calibration drift.","Verify y-axis tick mapping; the strip plot's two-level structure should be preserved rather than smeared.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.00218_page12_chart3.png
astro_2606.03342_page10_chart1,astro,2606.03342,10,1,partial,legend_wrong,"The four model series are recovered but legend labels are truncated/duplicated ('log(fH, lim) =') and the HeCS/CHANCES/WEAVE survey markers are not captured as separate series.","Fix legend text parsing of subscripted math labels and add the three single-marker survey points as distinct series.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.03342_page10_chart1.png
astro_2606.05146_page19_chart3,astro,2606.05146,19,3,partial,missing_series,"Only the dense power-law line is reconstructed; the five distinct colored survey markers (square, diamond, triangle, plus, x) sitting on the line are not output as separate data.","Detect discrete colored marker glyphs overlapping a line and emit them as separate series rather than absorbing into the line.",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.05146_page19_chart3.png
astro_2606.04894_page17_chart1,astro,2606.04894,17,1,partial,miscalib,"The original y-axis is logarithmic (10^2-10^3) but the re-plot renders it linear (0-1000), distorting the curve spacing.","Detect log y-axis from the 10^n tick labels and calibrate values in log space.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04894_page17_chart1.png
astro_2606.02698_page8_chart12,astro,2606.02698,8,12,partial,missing_series,"The red model track is recovered well but the colored photometry marker series (squares and up/down triangles) are nearly all missed and the legend emits a stray '^' label.","Strengthen filled-marker detection for triangles/squares so the photometry series are extracted alongside the track.",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.02698_page8_chart12.png
astro_2606.04712_page24_chart1,astro,2606.04712,24,1,partial,missing_series,"The dense purple line (a reddening vector) plus a few stray points are output, while the prominent blue evolutionary track and most of the 10 labeled marker series are lost.","Treat the reddening/guide line as non-data, and recover the blue track curve and the per-object colored markers as the real series.",marks.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.04712_page24_chart1.png
astro_2606.01087_page16_chart2,astro,2606.01087,16,2,partial,legend_wrong,"All five model curves are extracted accurately but two legend labels are garbled ('9 [ln(1)+ 3', 'exp[ 3( +4/3)2') from broken math-text parsing.","Improve LaTeX/math legend text extraction so subscripted and bracketed expressions are not mangled.",labels.py,/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/astro_2606.01087_page16_chart2.png
