sample_id,corpus,paper,page,chart,legend_verdict,problem,suggested_fix,suggested_module,png
materials_2606.02317_page14_chart2,materials,2606.02317,14,2,legend_missing,"original has ALD/PECVD legend box but extraction recovered no labels","detect and parse the in-axes legend box (square=ALD, circle=PECVD) and assign labels by marker shape","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02317_page14_chart2.png
materials_2606.00165_page6_chart1,materials,2606.00165,6,1,legend_wrong,"subscript minus in a_- mangled to a blank space, yielding 'D(a :CR)' instead of 'D(a_-:CR)'","preserve LaTeX subscript minus when flattening sub/superscript runs in legend text","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00165_page6_chart1.png
materials_2606.04724_page21_chart1,materials,2606.04724,21,1,legend_missing,"original legend tau=0.5/1.0/2.0 not recovered (no legend in re-plot)","detect the in-axes legend block and map its 3 entries to the 3 colored curves","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04724_page21_chart1.png
materials_2606.00681_page4_chart3,materials,2606.00681,4,3,legend_missing,"3-entry legend (A2-like pole trajectory / electrical peak / peak-pole offset) not recovered","detect the lower-left in-axes legend box and assign its 3 entries by line color/style","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00681_page4_chart3.png
materials_2606.02317_page11_chart1,materials,2606.02317,11,1,legend_partial,"4 colored inline text labels (Hafnia/Alumina/Silicon Nitride/Silica) but only 3 recovered; Silicon Nitride dropped","handle multi-line inline color-coded labels so 'Silicon Nitride' (two-line label) is captured","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02317_page11_chart1.png
materials_2606.04724_page19_chart1,materials,2606.04724,19,1,legend_wrong,"4-entry tau legend garbled: '1.0/2.0/3.0' lost the 'tau=' prefix, tau=0.5 became 'o', plus a spurious extra 'o' entry","keep full legend entry text (tau= prefix) and drop spurious/empty legend entries","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04724_page19_chart1.png
materials_2606.00165_page20_chart3,materials,2606.00165,20,3,legend_partial,"6-entry legend (A12..A34) but only 2 recovered (A14, A23); also a_- mangled to 'a '","capture all legend rows (not just a subset) and preserve subscript minus","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00165_page20_chart3.png
materials_2606.02085_page6_chart1,materials,2606.02085,6,1,legend_missing,"'Freq. (cm-1):' legend with 6 numeric entries (310..8000) not recovered","detect the titled in-axes legend block and assign its 6 entries to the 6 marker series","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.02085_page6_chart1.png
materials_2606.04219_page12_chart1,materials,2606.04219,12,1,legend_missing,"inline series labels 'BL (This work)' and 'ML (This work)' not recovered","recover free-floating inline series labels near their colored point clusters","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.04219_page12_chart1.png
materials_2606.00785_page15_chart2,materials,2606.00785,15,2,legend_missing,"4-entry crystal legend (CaMg2Bi2/YbMg2Bi2 Poly/Single Crystal) not recovered","detect the in-axes legend box and assign its 4 entries by marker fill/color","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00785_page15_chart2.png
materials_2606.03405_page10_chart1,materials,2606.03405,10,1,legend_wrong,"legend 'QA -> PIMD' lost its arrow (became 'QA PIMD') and a spurious 'PIMD' entry was added","preserve arrow glyph in legend text and suppress duplicate/spurious legend entry","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.03405_page10_chart1.png
materials_2606.03016_page16_chart1,materials,2606.03016,16,1,legend_missing,"6 per-curve endpoint labels a-f identify the series but none were recovered","recover single-letter curve-end labels as series identifiers when no legend box exists","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.03016_page16_chart1.png
materials_2606.00223_page6_chart5,materials,2606.00223,6,5,legend_wrong,"superscript minus on e- dropped, giving '0.2 e' instead of '0.2 e-'","preserve superscript minus/charge sign when flattening legend text","labels.py",/network/scratch/s/scieurda/pdf_chart2table/judge4_iter6_idx/materials_2606.00223_page6_chart5.png
