sample_id,verdict,failure_mode
astro_2606.03881_page7_chart1,correct,
astro_2606.04793_page6_chart1,partial,extra_noise
astro_2606.04309_page9_chart1,partial,legend_wrong
astro_2606.02711_page42_chart1,partial,miscalib
astro_2606.02726_page9_chart1,partial,legend_wrong
astro_2606.04140_page9_chart1,correct,
astro_2606.00221_page11_chart2,partial,miscalib
astro_2606.04894_page7_chart2,correct,
astro_2606.02711_page53_chart4,correct,
astro_2606.02698_page7_chart4,correct,
astro_2606.00221_page20_chart4,correct,
astro_2606.03522_page7_chart4,partial,legend_wrong
astro_2606.02732_page4_chart4,partial,miscalib
astro_2606.02318_page9_chart2,correct,
astro_2606.00493_page16_chart1,correct,
astro_2606.02700_page18_chart1,correct,
astro_2606.00218_page12_chart3,partial,miscalib
astro_2606.03342_page10_chart1,partial,legend_wrong
astro_2606.05146_page19_chart3,partial,missing_series
astro_2606.00258_page13_chart3,correct,
astro_2606.04894_page17_chart1,partial,miscalib
astro_2606.02698_page8_chart12,partial,missing_series
astro_2606.04712_page24_chart1,partial,missing_series
astro_2606.02413_page9_chart2,correct,
astro_2606.00258_page13_chart1,correct,
astro_2606.01087_page16_chart2,partial,legend_wrong
